"TextMaster","TextMaster"
"Project","Project"
"Create","Create"
"Manage","Manage"
"Configuration","Configuration"
"Authentication","Authentication"
"Language Mapping","Language Mapping"
"Translatable Content Selection","Translatable Content Selection"
"Add New Project","Add New Project"
"textmaster_staging","STAGING"
"textmaster_production","PRODUCTION"
"Environment","Environment"
"Api Key","Api Key"
"Api Secret","Api Secret"
"TextMaster Account","TextMaster Account"
"Credits","Credits"
"Buy credits","Buy credits"
"Name","Name"
"Reference","Reference"
"Source Language","Source Language"
"Target Language","Target Language"
"Level","Level"
"Document Type","Document Type"
"Number of documents","Number of documents"
"Price","Price"
"Status","Status"
"Category","Category"
"Created At","Created At"
"Last Changed","Last Changed"
"In creation","In creation"
"Waiting assignment","Waiting assignment"
"In progress","In progress"
"In review","In review"
"Completed","Completed"
"Incomplete","Incomplete"
"Paused","Paused"
"Canceled","Canceled"
"Copyscape","Copyscape"
"Counting words","Counting words"
"Quality control","Quality control"
"Product","Product"
"Page","Page"
"Block","Block"
"Premium","Premium"
"Enterprise","Enterprise"
"attribute_page_title","Page Title"
"attribute_page_content","Content"
"attribute_page_content_heading","Content Heading"
"attribute_page_meta_description","Meta Description"
"attribute_page_meta_keywords","Meta Keywords"
"attribute_page_meta_title","Meta Title"
"attribute_block_title","Block Title"
"attribute_block_content","Content"
"There was an error while processing the request","There was an error while processing the request"
"The module needs api templates to work. Please click on the following link <a href="%1">Manage my API Templates</a>.","The module needs api templates to work. Please click on the following link <a href="%1">Manage my API Templates</a>."
"The module needs api keys and api secret to work. Please click on the following link <a href="%1">Manage my Authentification</a>.","The module needs api keys and api secret to work. Please click on the following link <a href="%1">Manage my Authentification</a>."
"The module needs at least two different stores to work. Please click on the following link <a href="%1">Manage my Stores</a>.","The module needs at least two different stores to work. Please click on the following link <a href="%1">Manage my Stores</a>."
"The module needs at least one translatable attribute for product, category, page and block to work. Please click on the following link <a href="%1">Manage my Translatable Content</a>.","The module needs at least one translatable attribute for product, category, page and block to work. Please click on the following link <a href="%1">Manage my Translatable Content</a>."
"in_creation","In creation"
"waiting_assignment","Waiting assignment"
"in_progress","In progress"
"in_review","In review"
"completed","Completed"
"incomplete","Incomplete"
"paused","Paused"
